Date,Who,What,How Much,From/To,Source,Year,
2007/07,boo-box,Raised from,USD 300k,Monashees,http://blog.boo-box.com/en/2007/press-release/,2007,
2007/07,BrPay,Acquired by,undisclosed,UOL,http://info.abril.com.br/aberto/infonews/072007/17072007-11.shl,2007,
2007/09,Ikwa,Raised from,undisclosed,Monashees,http://idgnow.uol.com.br/internet/2007/09/21/idgnoticia.2007-09-21.6642677970/,2007,
2008/02,Digiweb,Acquired by,undisclosed,UOL,http://oglobo.globo.com/economia/mat/2008/02/26/uol_compra_digiweb_vira_terceiro_maior_provedor_de_hospedagem_do_pais-425969953.asp,2008,
2008/02,Power.com,Raised from,undisclosed,Draper Fisher Jurvetson,http://www.crunchbase.com/company/power-com#src1,2008,
2008/08,Spring Wireless,Raised from,USD 56m,"NEA, Goldman Sachs, IDNT",,2008,
2008/09,ComperaNTime,Acquired by,undisclosed,Naspers,http://www.comperantime.com/en/noticias/noticia7.html,2008,
2008/09,WebCo,Raised from,undisclosed,Naspers,http://www.codix.com.br/blog/com-nova-empresa-grupo-naspers-foca-em-web-brasileira.html,2008,
2008/11,Guiadasemana,Acquired by,undisclosed,RBS,http://www.portaldapropaganda.com/midia/2008/11/0005,2008,
2008/11,ObaOba,Acquired by,undisclosed,RBS,http://www.portaldapropaganda.com/midia/2008/11/0005,2008,
2008/11,pontomobi,Acquired by,undisclosed,RBS,http://www.mobilizado.com.br/cases-em-destaque/grupo-rbs-adquire-30-da-pontomobi,2008,
2008/11,Sack's,Raised from,BRL 16m,Albatroz Participações,http://www.istoedinheiro.com.br/noticias/3412_ESSE+NEGOCIO+CHEIRA+BEM,2008,
2008/11,WebCo,Merged with,-,Abril Digital,http://venturebeat.com/2010/03/05/brazilian-startup-compra3-launches-group-buying-site/,2008,
2008/12,Compra3,Raised from,USD 1.2m,"Michael Nicklas, Carlos Nissel and Daniel Tinoco",http://venturebeat.com/2010/03/05/brazilian-startup-compra3-launches-group-buying-site/,2008,
2008/12,TrueTech,Raised from,undisclosed,Intel Capital,http://blogs.estadao.com.br/renato-cruz/investimento-da-intel-capital-no-brasil/,2008,
2009/01,Bookess,Raised from,undisclosed,Floripa Angels,http://www.capitalsemente.com.br/artigo/27/O+NOVO+BOOM+DE+STARTUPS,2009,
2009/01,CorpoPerfeito,Raised from,undisclosed,Endurance,http://www.endurancepartners.com.br/endurance/web/conteudo_eni.asp?idioma=1&tipo=25404&conta=46&id=72247,2009,
2009/01,SambaTech,Raised from,USD 3m,"DFJ, FIR Capital",http://www.fircapital.com/fircapital/web/conteudo_pti.asp?idioma=0&tipo=12978&conta=45&id=72318,2009,
2009/03,Amanaie,Raised from,undisclosed,Michael Nicklas,"http://www.estadao.com.br/noticias/impresso,internet-atrai-investidor-externo,367958,0.htm",2009,
2009/03,DHC,Acquired by,undisclosed,UOL,http://computerworld.uol.com.br/negocios/999/12/31/uol-host-negocia-compra-da-dhc/,2009,
2009/05,BoldCron,Acquired by,undisclosed,UOL,http://www.tiinside.com.br/News.aspx?ID=130337&C=264,2009,
2009/06,Hotwords,Acquired by,-,CanalMail,http://www.tiinside.com.br/News.aspx?ID=134672,2009,
2009/09,Buscapé,Acquired by,USD 342m,Naspers,http://www.bloomberg.com/apps/news?pid=newsarchive&sid=a4sbmh9NTlSg,2009,
2009/09 ,MoIP,Raised from,undisclosed,IDNT,http://idgnow.uol.com.br/internet/2009/09/02/ideiasnet-investe-em-solucao-de-pagamentos-online-moip/,2009,
2009/10,Insite,Acquired by,undisclosed,UOL,http://exame.abril.com.br/negocios/empresas/noticias/uol-compra-quarta-maior-empresa-hospedagem-sites-brasil-508414,2009,
2009/12,softaware.emp.br,Raised from,BRL 120k,Programa PRIME,http://prime.paqtc.org.br/download/LISTA_DE_EMPRESAS_APROVADA_ETAPA2.pdf,2009,
2010/01,Navegg,Raised from,undisclosed,Astella,http://astellainvest.com/blog/evolucao-navegg-buscape/,2010,
2010/03,Peixe Urbano,Raised from,undisclosed,Monashees,http://techcrunch.com/2011/01/12/benchmark-capital-takes-stake-in-brazils-peixe-urbano/,2010,
2010/05,Brandsclub,Raised from,USD 17m,Naspers,http://webholic.com.br/2010/05/17/naspers-aporta-17-milhoes-de-dolares-na-brandsclub/,2010,
2010/05,Clickon,Raised from,USD 17m,"Klaus Hommels, Oliver Jung and A5 Investimentos",http://webholic.com.br/2010/05/25/clickon-recebe-aporte-de-17-milhoes-de-reais-febre-dos-groupons-brasileiros-continua/,2010,
2010/05,ePrimeCare,Raised from,undisclosed,Confrapar,http://www.finep.gov.br/imprensa/noticia.asp?cod_noticia=2231,2010,
2010/06,Descomplica,Raised from,undisclosed,Gávea Angels,http://webholic.com.br//28/descomplica-recebe-investimento-do-gavea-angels/,2010,
2010/07,Canal do Crédito,Raised from,undisclosed,Confrapar,http://webholic.com.br/2010/11/29/canal-do-credito-quer-ampliar-atuacao-no-brasil-apos-aporte-de-investidores/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A+ReadwritewebBrasil+%2528ReadWriteWeb+Brasil%2529,2010,
2010/07,Chaordic,Raised from,undisclosed,DLM,http://www.infomoney.com.br/mercados/noticia/1910386,2010,
2010/08,EBehavior,Acquired by,undisclosed,BuscaPé,,2010,
2010/08,EzLearn,Raised from,undisclosed,Galícia Investimentos,http://www.drclas.harvard.edu/brazil/news/2010-08-08-ezlearn,2010,
2010/08,Mentez,Raised from,undisclosed,Insight Venture Partners,http://www.insightpartners.com/portfolio/mentez,2010,
2010/09,Locaweb,Raised from,undisclosed,SilverLake,http://press.locaweb.com.br/362/silver-lake-sumeru-anuncia-investimento-na-locaweb,2010,
2010/09,Saveme,Acquired by,undisclosed,Buscapé,http://webholic.com.br/2010/09/22/buscape-compra-agregador-de-compras-coletivas-zip-me-agora-saveme/,2010,
2010/10,DeskMetrics,Raised from,USD 200k,undisclosed,http://techcrunch.com/2010/12/20/brazilian-startup-deskmetrics-Raised from-seed-round-for-desktop-software-analytics/,2010,
2010/10,Privalia,Raised from,USD 95m,"General Atlantic, Index Ventures eHighland Capital  ",http://exame.abril.com.br/blogs/zeros-e-uns/2010/10/04/site-de-compras-coletivas-privalia-recebe-aporte-de-95-milhoes-de-dolares/,2010,
2010/10,Sieve,Raised from,undisclosed,ArpexCapital,http://brasil20.org/?p=1179,2010,
2010/11,boo-box,Raised from,Series A,Intel Capital,http://oglobo.globo.com/tecnologia/mat/2010/11/19/intel-capital-amplia-portfolio-de-investimentos-no-brasil-923055478.asp,2010,
2010/11,Coquelux,Raised from,Series A,Intel Capital,,2010,
2010/11,Vostu,Raised from,USD 30m,"Intel Capital, Accell partners, Tiger Global",http://venturebeat.com/2010/11/29/brazil-social-game-player-vostu-Raised from-30m-from-accel-and-tiger-global/,2010,
2010/12,Diveo,Acquired by,BRL 693.5m,UOL,http://www.telecompaper.com/news/uol-acquires-diveo-for-brl-6935-mln,2010,
2010/12,Media Factory,Acquired by,BRL 9m,LeadMedia,http://www.ideiasnet.com.br/pdf/20101216_Comunicado_Mercado_MediaFactory.pdf,2010,
2010/12,NetMovies,Acquired by,USD 7.5m,Tiger Global,http://economia.ig.com.br/empresas/ideiasnet+vende+netmovies+para+a+tiger+global+por+r+111+milhoes/n1237898262463.html,2010,
2011/01,Amanaie,Shuts down,-,-,http://amanaie.com.br,2011,
2011/01,Baby.com.br,Raised from,USD 4.4m,"Monashees Capital, Tiger Global, SV Angel, Chamath Palihapitiya, Felicis Ventures",http://dealbook.nytimes.com/2011/10/24/nurturing-start-ups-in-brazil-with-a-nod-to-silicon-valley/,2011,
2011/01,Belezanaweb,Raised from,undisclosed,"Tiger Global, Kaszek",www.epocanegocios.com.br,2011,
2011/01,Mobjoy,Raised from,undisclosed,Monashees Capital,http://mobjoy.theresumator.com/apply/ ,2011,
2011/01,Peixe Urbano,Raised from,undisclosed,Benchmark Capital,http://lavca.org/2011/01/13/benchmark-capital-takes-stake-in-brazil%E2%80%99s-peixe-urbano/,2011,
2011/01,petsupermarket,Raised from,undisclosed,"Tiger Global, Kaszek, Monashees",www.epocanegocios.com.br,2011,
2011/01,tryoop,Raised from,undisclosed,Astella,http://astellainvest.com/portfolio/,2011,
2011/02,Navegg,Acquired by,undisclosed,Buscapé,http://webholic.com.br/2011/02/15/levou-buscape-compra-70-da-navegg/,2011,
2011/02,Tutudo,Raised from,undisclosed,Bossa Nova ,http://www.istoedinheiro.com.br/noticias/61624_DE+VOLTA+AOS+MARES+DIGITAIS,2011,
2011/03,Kabum,Raised from,undisclosed,Insight Venture Partners,http://www.insightpartners.com/news/open/47,2011,
2011/03,oqvestir,Raised from,undisclosed,"Tiger Global, Kaszek Ventures",www.epocanegocios.com.br,2011,
2011/04,Helpsaude,Raised from,undisclosed,Astella,http://www.helpsaude.com/Release-HelpSaude-Recebe-Investimento-Astella,2011,
2011/04,Hotel Urbano,Raised from,undisclosed,Insight Venture Partners,,2011,
2011/04,Meritia,Acquired by,undisclosed,Aorta,http://www.teletime.com.br/29/03/2011/aorta-compra-100-da-meritia/tt/219106/news.aspx,2011,
2011/04,Power.com,Shuts down,-,-,http://techcrunch.com/2011/04/21/power-com-shuts-down-domain-name-up-for-sale/,2011,
2011/04,ZoeMob.com,Raised from,undisclosed,Cassio Spina,https://www.zoemob.com/download/estadao_oportunidades_materia.pdf,2011,
2011/05,"Best, Cool & Fun Games",Raised from,undisclosed,"Madrone (Yuri Milner), Daniel Gutenberg & Arpex Capital",http://blogs.estadao.com.br/link/bem-aplicado/,2011,
2011/05,BoaCompra,Acquired by,undisclosed,UOL,http://idgnow.uol.com.br/internet/2011/05/09/uol-adquire-boa-compra-e-amplia-presenca-no-setor-de-pagamentos-eletronicos/,2011,
2011/05,Braspag,Acquired by,BRL 40m,Cielo,http://economia.ig.com.br/mercados/cielo+paga+r+40+milhoes+pela+braspag+do+grupo+silvio+santos/n1596975188796.html,2011,
2011/05,Clickon,Acquired by,40%,Globo Mosaico,http://investinbrazil.biz/news/mosaico-acquires-40-cent-brazils-clickon-closure-round-financing-73b4,2011,
2011/05,Hi-Midia,Acquired by,undisclosed,RBS,http://economia.ig.com.br/mercados/cielo+paga+r+40+milhoes+pela+braspag+do+grupo+silvio+santos/n1596975188796.html,2011,
2011/05,O2 Games,Raised from,undisclosed,Bossa Nova ,http://exame.abril.com.br/pme/startups/galerias/central-de-startups/jogos-sociais-dao-novo-folego-a-o2-games,2011,
2011/05,SiteBlindado,Raised from,undisclosed,ArpexCapital,http://webholic.com.br/2011/05/16/arpex-capital-adquire-controle-societario-do-site-blindado/,2011,
2011/06,CapsDOC,Incubated by,USD 40k,Startup Chile,http://www.startupchile.org/supprojects/capsdoc,2011,
2011/06,Compare123,Raised from,undisclosed,Internet24,http://exame.abril.com.br/pme/startups/noticias/compare123-marca-estreia-do-grupo-internet24-no-brasil,2011,
2011/06,Dafiti,Raised from,BRL 35m,Rocket Internet & Holtzbrinck,http://exame.abril.com.br/revista-exame/edicoes/0998/noticias/fabrica-de-clones?page=2&slug_name=fabrica-de-clones,2011,
2011/06,Folhamatic,Raised from,undisclosed,Insight Venture Partners,http://64.84.47.35/sights/ftpartners/pdf/M&A%20%2006.09.2011%20Insight%20Venture%20Partners%20%20Folhamatic.pdf,2011,
2011/06,Glossybox,Raised from,undisclosed,Rocket Internet & Holtzbrinck,,2011,
2011/06,Ikeda,Acquired by,undisclosed,Rakuten,http://webholic.com.br/2011/06/07/empresa-japonesa-compra-75-de-participacao-da-brasileira-ikeda/,2011,
2011/06,JobConvo,Incubated by,USD 40k,Startup Chile,http://www.startupchile.org/supprojects/jobconvo,2011,
2011/06,Kekanto,Raised from,undisclosed,"Florian Otto, Vinicius Marchini",http://startupi.com.br/2011/kekanto-recebe-novos-investimentos/,2011,
2011/06,Novelo,Incubated by,USD 40k,Startup Chile,http://www.startupchile.org/supprojects/novelo/,2011,
2011/06,Peixe Urbano,Raised from,undisclosed,General Atlantic & Tiger Global Management,http://colunas.epocanegocios.globo.com/tecneira/2011/05/06/peixe-urbano-recebe-investimento-para-anunciar-na-tv-e-se-expandir-na-america-latina/,2011,
2011/06,Regrupe,Merged with,undisclosed,ApontaOfertas (grupo Apontador),http://webholic.com.br/2011/06/18/fusao-entre-o-regrupe-e-apontaofertas-promete-a-plataforma-mais-completa-de-compra-coletiva-do-pais,2011,
2011/06,Zuggi,Incubated by,USD 40k,Startup Chile,http://www.startupchile.org/supprojects/zuggi,2011,
2011/07,Omnilogic,Raised from,undisclosed,Naspers,http://exame.abril.com.br/pme/noticias/naspers-faz-aporte-na-mineira-omnilogic,2011,
2011/07,ViajaNet,Raised from,USD 19m,Redpoint Ventures and General Catalyst ,http://webholic.com.br/2011/07/04/viajanet-recebe-aporte-de-us-19-milhoes-para-ampliar-atuacao-internacional/,2011,
2011/08,Airu,Incubated by,undisclosed,Rocket Internet,http://rio-negocios.com/mercado-atrai-fundos-de-outras-origens/,2011,
2011/08,Anuncie.la,Raised from,BRL 300k,Buscapé,http://startupi.com.br/2011/vencedores-do-desafio-buscape-um-pouco-mais-sobre-hotmart-anunciela-meucarrinho-e-urbanizo/,2011,
2011/08,Dualtec,Raised from,undisclosed,Astella,http://www.dualtec.com.br/dualtec/sala-de-imprensa/na-midia/nova-empresa-no-portfolio-da-astella-investimentos%E2%80%93dualtec-cloud-solutions.aspx,2011,
2011/08,Gestum,Raised from,undisclosed,WH Investimentos,undisclosed,2011,
2011/08,Hotmart,Raised from,BRL 300k,Buscapé,http://startupi.com.br/2011/vencedores-do-desafio-buscape-um-pouco-mais-sobre-hotmart-anunciela-meucarrinho-e-urbanizo/,2011,
2011/08,iFood (f.k.a. Disk Cook),Raised from,BRL 3.1m,WH Investimentos,http://avcinbrazil.com/2011/08/20/recem-criado-ifood-recebe-aporte-de-fundo/,2011,
2011/08,Kanui,Incubated by,undisclosed,Rocket Internet,http://rio-negocios.com/mercado-atrai-fundos-de-outras-origens/,2011,
2011/08,MeuCarrinho,Raised from,BRL 300k,Buscapé,http://startupi.com.br/2011/vencedores-do-desafio-buscape-um-pouco-mais-sobre-hotmart-anunciela-meucarrinho-e-urbanizo/,2011,
2011/08,Mobly,Incubated by,undisclosed,Rocket Internet,http://rio-negocios.com/mercado-atrai-fundos-de-outras-origens/,2011,
2011/08,Tricae,Incubated by,undisclosed,Rocket Internet,http://rio-negocios.com/mercado-atrai-fundos-de-outras-origens/,2011,
2011/08,Urbanizo,Raised from,BRL 300k,Buscapé,http://startupi.com.br/2011/vencedores-do-desafio-buscape-um-pouco-mais-sobre-hotmart-anunciela-meucarrinho-e-urbanizo/,2011,
2011/09,Ainda Tem,Incubated by,BRL 20k,21212.com,http://thenextweb.com/la/2011/11/06/21212-accelerating-brazilian-startups-in-rio-de-janeiro-with-a-little-help-from-nyc/,2011,
2011/09,Bloompa,Incubated by,BRL 20k,21212.com,http://thenextweb.com/la/2011/11/06/21212-accelerating-brazilian-startups-in-rio-de-janeiro-with-a-little-help-from-nyc/,2011,
2011/09,Brandship,Incubated by,BRL 20k,21212.com,http://thenextweb.com/la/2011/11/06/21212-accelerating-brazilian-startups-in-rio-de-janeiro-with-a-little-help-from-nyc/,2011,
2011/09,Craques.com,Incubated by,BRL 20k,21212.com,http://thenextweb.com/la/2011/11/06/21212-accelerating-brazilian-startups-in-rio-de-janeiro-with-a-little-help-from-nyc/,2011,
2011/09,GetNinjas,Raised from,undisclosed,Monashees Capital ,http://monashees.com.br/companies/getninjas,2011,
2011/09,Helpin,Incubated by,BRL 20k,21212.com,http://thenextweb.com/la/2011/11/06/21212-accelerating-brazilian-startups-in-rio-de-janeiro-with-a-little-help-from-nyc/,2011,
2011/09,Igluu,Incubated by,BRL 20k,21212.com,http://thenextweb.com/la/2011/11/06/21212-accelerating-brazilian-startups-in-rio-de-janeiro-with-a-little-help-from-nyc/,2011,
2011/09,iTrip,Incubated by,BRL 20k,21212.com,http://thenextweb.com/la/2011/11/06/21212-accelerating-brazilian-startups-in-rio-de-janeiro-with-a-little-help-from-nyc/,2011,
2011/09,Olook,Raised from,undisclosed,Monashees Capital,http://www.linkedin.com/profile/view?id=17109105&authType=name&authToken=rQpr&goback=%2Enpv_11455542_*1_*1_name_fOSH_*1_en*4US_*1_*1_*1_*1_*1_*1_pp_*1_*1_*1_*1_*1_*1_*1%2Epfp_*2_*2_*2%2Enpv_149972250_*1_*1_name_KhTj_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1%2Epfp_*2_*2_*2&trk=pymk_full,2011,
2011/09,Pagpop,Incubated by,BRL 20k,21212.com,http://thenextweb.com/la/2011/11/06/21212-accelerating-brazilian-startups-in-rio-de-janeiro-with-a-little-help-from-nyc/,2011,
2011/09,ResolveAí,Incubated by,BRL 20k,21212.com,http://thenextweb.com/la/2011/11/06/21212-accelerating-brazilian-startups-in-rio-de-janeiro-with-a-little-help-from-nyc/,2011,
2011/09,RestauranteWeb,Acquired by,undisclosed,Just-Eat,http://webholic.com.br/2011/09/27/just-eat-anuncia-parceria-com-restauranteweb-para-atuar-no-mercado-brasileiro/,2011,
2011/09,SaferTaxi.com,Raised from,USD 1m,Kaszek Ventures & Draper Associates,http://lavca.org/2011/10/03/safertaxi-Raised from-1m-in-venture-funding/,2011,
2011/09,Simpply,Incubated by,BRL 20k,21212.com,http://thenextweb.com/la/2011/11/06/21212-accelerating-brazilian-startups-in-rio-de-janeiro-with-a-little-help-from-nyc/,2011,
2011/09,Videolog,Acquired by,undisclosed,SambaTech,http://info.abril.com.br/noticias/mercado/samba-tech-compra-videolog-06092011-19.shl,2011,(Edit: Simon Olson)
2011/09 ,Shoes4You,Raised from,undisclosed,Redpoint Ventures & Accel Partners ,http://webholic.com.br/2011/09/07/shoes4you-recebe-rodada-de-investimento-liderada-pela-redpoint-ventures/,2011,
2011/10,Ideias.me,Raised from,undisclosed,,http://startups.ig.com.br/2011/ideias-me-divulga-desafios-premiados-e-prepara-relancamento-apos-aporte-de-anjo/,2011,
2011/10,Mercado.etc,Raised from,undisclosed,A5 Investimentos,http://startupi.com.br/2011/economia-criativa-a5-de-paulo-humberg-anuncia-investimento-em-mercado-etc/,2011,
2011/10,Oppa,Raised from,undisclosed,Monashees,http://www.istoedinheiro.com.br/noticias/68083_O+PAIS+DAS+STARTUPS,2011,
2011/10 ,Bolsa de Mulher,Merged with,undisclosed,E-media,http://webholic.com.br/2011/10/03/mercado-de-ma-esquentando-no-brasil-bolsa-de-mulher-e-e-midia-anunciam-fusao/,2011,
2011/10 ,Elo7,Raised from,undisclosed,Accel Partners & MonasheesCapital,http://techcrunch.com/2011/10/11/accel-and-monashees-capital-back-the-etsy-for-brazil-elo7/,2011,
2011/11, Bússola do Investidor,Incubated by,USD 40k,Startup Chile,http://www.startupchile.org/press/find-out-who-made-it-to-start-up-chile%E2%80%99s-new-batch/,2011,
2011/11,Baby.com.br,Raised from,undisclosed,Angélica & Luciano Huck,http://info.abril.com.br/noticias/mercado/angelica-vira-socia-de-startup-baby.com-22112011-29.shl,2011,
2011/11,Checkout10,Incubated by,USD 40k,Startup Chile,http://www.startupchile.org/press/find-out-who-made-it-to-start-up-chile%E2%80%99s-new-batch/,2011,
2011/11,CromoUp,Raised from,undisclosed,Confrapar,http://www.valor.com.br/empresas/2586518/album-de-figurinhas-vai-parar-na-web,2011,
2011/11,DeskMetrics,Incubated by,USD 40k,Startup Chile,http://www.startupchile.org/press/find-out-who-made-it-to-start-up-chile%E2%80%99s-new-batch/,2011,
2011/11,GetNinjas,Raised from,undisclosed,Kaszek Ventures,http://startups.ig.com.br/2011/novo-apporte-co-fundadores-do-mercado-livre-investem-na-getninjas/,2011,
2011/11,GPNX,Incubated by,USD 40k,Startup Chile,http://www.startupchile.org/press/find-out-who-made-it-to-start-up-chile%E2%80%99s-new-batch/,2011,
2011/11,Kekanto,Raised from,undisclosed,Accel Partners & Kaszek Ventures,http://dealbook.nytimes.com/2011/12/01/accel-invests-in-brazilian-review-and-search-site/,2011,
2011/11,Pinspire,Raised from,undisclosed,Rocket Internet,http://www.pinspire.com.br/pin/show/116502,2011,
2011/11,Yupi Studios,Incubated by,USD 40k,Startup Chile,http://www.startupchile.org/press/find-out-who-made-it-to-start-up-chile%E2%80%99s-new-batch/,2011,
2011/12,Apontador,Raised from,BRL 10m,LBS Local,startups.ig.com.br/2011/apontador-recebe-mais-r-10-milhoes-da-lbs-local-e-reestrutura-se/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+startupi+%28startupi%29&utm_content=Google+Reader,2011,
2011/12,Myreks,Raised from,undisclosed,Fundo SC (BZPlan + FIR Capital),http://tisc.com.br/investimentos/fundo-sc-faz-primeiro-investimento-na-myreks/,2011,
2011/12,Predicta,Raised from,undisclosed,RBS,http://www.valor.com.br/empresas/1144996/rbs-associa-se-predicta-e-prepara-separacao-de-sua-area-digital,2011,
2011/12,Yupi Studios,Raised from,undisclosed,Tapjoy,"http://revistapegn.globo.com/Revista/Common/0,,EMI288743-17180,00-BRASILEIRA+YUPI+STUDIOS+FECHA+PARCERIA+COM+PRODUTORA+AMERICANA.html",2011,
2012/01,Aorta,Acquired by,undisclosed,Grupo.Mobi,http://www.aorta.com.br/news/2012/jan/Aorta-passa-a-integrar-o-Grupo-Mobi/22454b6d-58e2-419c-aec4-6d8064179c5d,2012,
2012/01,Connectparts (Dakota Parts),Raised from,USD 7.5m,Atomico,http://dealbook.nytimes.com/2012/02/23/venture-firm-seeks-the-atypical-and-finds-it-in-brazil/?scp=1&sq=atomico&st=cse,2012,
2012/01,Hipxik,Shuts down Brazilian operation,,,http://www.hipxik.com/,2012,
2012/01,Ideiasnet,Raised from,undisclosed,Liberty Media,http://us4.campaign-archive1.com/?u=c415186b11aa2504624f57d33&id=0a49364feb&e=c814851776,2012,
2012/01,Peixe Urbano,Raised from,undisclosed,"Morgan Stanley, T. Rowe Price Associates, General Atlantic, Tiger Global Management",http://exame.abril.com.br/pme/startups/noticias/morgan-stanley-e-t-rowe-price-investem-no-peixe-urbano,2012,
2012/01,Resolva.me,Acquired by,undisclosed,Buscapé,http://www.valor.com.br/empresas/1198430/buscape-compra-participacao-na-rede-resolvame,2012,
2012/02,BebêStore,Raised from,USD 2.9m,Atomico,http://info.abril.com.br/noticias/mercado/atomico-anuncia-primeiros-investimentos-no-brasil-24022012-41.shl,2012,
2012/02,Cidade Internet,Acquired by,undisclosed,Populis,http://fusoesaquisicoes.blogspot.com/2012/02/populis-compra-cidade-internet.html,2012,
2012/02,Coquelux,Raised from,undisclosed,Intel Capital,http://www.valor.com.br/empresas/2534730/intel-capital-faz-novas-apostas-no-brasil,2012,
2012/02,Fashion.me,Raised from,undisclosed,Intel Capital,http://www.valor.com.br/empresas/2534730/intel-capital-faz-novas-apostas-no-brasil,2012,
2012/02,MT Performance,Raised from,undisclosed,"BDMI, eVenture Capital Partners",http://us1.campaign-archive1.com/?u=30d65aaf65b39b04b5182cd50&id=b6c5eee1fd&e=e6bb8890d0,2012,
2012/02,Pixeon,Raised from,undisclosed,Intel Capital,http://newsroom.intel.com/community/pt_br/blog/2011/12/19/intel-capital-anuncia-investimento-em-empresa-especializada-em-tecnologia-para-imagens-m%C3%A9dicas,2012,
2012/02,Restorando,Raised from,USD 3.2m," Emergence Capital, Storm Ventures, Kaszek, Atomico",http://pulsosocial.com/2012/02/15/restorando-Raised from-3-2-million-of-direct-investment-from-silicon-valley/,2012,
2012/02,Starline,Raised from,undisclosed,Confrapar,http://www.confrapar.com.br/empresas.swf,2012,
2012/02,Viva Real,Raised from,undisclosed,"Greg Waldorf, Simon Baker, Shaun Di Gregorio, Wences Casares, Micky Malka, Ariel Poler, Gordon Rubenstein, 500 Startups, Jeff Fluhr, Errol Damelin, Florian Otto, Monashees Capital, Kaszek Ventures",http://techcrunch.com/2012/02/17/real-estate-site-vivareal-Raised from-cash-to-be-the-zillow-for-brazil/,2012,
2012/02,Zuppa,Acquired by,undisclosed,Peixe Urbano,startups.ig.com.br/2012/peixe-urbano-compra-zuppa-site-de-reservas-de-mesas-em-restaurantes,2012,
2012/03,Elo7,Raised from,undisclosed,Insight Partners,http://exame.abril.com.br/pme/startups/noticias/elo7-recebe-aporte-da-insight-partners,2012,
2012/03,Fisgo,Raised from,BRL 2.5m,Confrapar,http://exame.abril.com.br/pme/noticias/fisgo-recebe-r-2-5-mi-de-fundo-da-confrapar,2012,
2012/03,Groupalia,Acquired by,undisclosed,Peixe Urbano,http://startups.ig.com.br/2012/peixe-urbano-compra-o-groupalia-em-6-paises-da-america-latina,2012,
2012/03,Mandic,Raised from,USD 100m,Riverwood Capital,http://startups.ig.com.br/2012/mandic-recebe-r-100-milhoes-da-riverwood-compra-a-tecla-e-anuncia-expansao-agressiva/,2012,
2012/03,Ningo,Raised from,undisclosed,"Cassio Spina, Investidores Anjo",http://startups.ig.com.br/2012/ningo-recebe-aporte-de-anjos/,2012,
